604,Parente & Brian Snõddy,['Hamletback Goliath'],['Hamletback Goliath']
389,Yohann Schepacz,"['Murderous Cut', 'Khans of Tarkir', 'Commander 2016', 'Journey into Nyx', 'Battle for Zendikar', 'Commander 2017', 'Fate Reforged', 'Dragons of Tarkir', 'Archenemy: Nicol Bolas', 'Magic: The Gathering—Conspiracy', 'Eldritch Moon', 'Conspiracy: Take the Crown', 'Amonkhet', 'Hour of Devastation', 'Magic 2015 Core Set']","['Murderous Cut', 'Crackling Doom', 'Crackling Doom', 'Renowned Weaver', 'Rolling Thunder', 'Eyeless Watcher', 'Crackling Doom', 'Ancestral Vengeance', 'Silumgar Assassin', 'When Will You Learn?', 'Kor Chant', 'Distended Mindbender', ""Fortune's Favor"", 'Netcaster Spider', 'Warfire Javelineer', 'Granitic Titan', 'Ephemeral Shields', 'Netcaster Spider']"
15,Karl Kopinski,"['Kor Aeronaut', 'Zendikar', 'Theros', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Gatecrash', ""Dragon's Maze"", 'Alara Reborn', 'Dark Ascension', 'Magic 2011', 'Khans of Tarkir', 'Commander 2016', 'Commander 2015', 'Magic 2013', 'Journey into Nyx', 'Battle for Zendikar', 'Commander Anthology', 'Magic 2010', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Oath of the Gatewatch', 'Fate Reforged', 'Worldwake', 'Shards of Alara', 'Born of the Gods', 'Avacyn Restored', 'Archenemy', 'Innistrad', 'Dominaria', 'Dragons of Tarkir', 'Aether Revolt', 'Return to Ravnica', 'Scars of Mirrodin', 'Rise of the Eldrazi', 'Commander 2014', 'Archenemy: Nicol Bolas', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Conflux', 'Eldritch Moon', ""Commander's Arsenal"", 'Conspiracy: Take the Crown', 'Amonkhet', 'Hour of Devastation', 'New Phyrexia', 'Mirrodin Besieged', 'Shadows over Innistrad', 'Magic 2012', 'Magic Origins', 'Magic 2015 Core Set']","['Kor Aeronaut', 'Narrow Escape', 'Gatekeeper of Malakir', 'Hagra Diabolist', 'Mindless Null', 'Mold Shambler', 'Quest for the Gemblades', 'Horizon Scholar', 'Master of Waves', ""Titan's Strength"", 'Two-Headed Cerberus', 'Reaper of the Wilds', 'Temple of Silence', 'Tormented Soul', 'Acidic Slime', 'Mountain', 'Simic Fluxmage', 'Five-Alarm Fire', 'Hellraiser Goblin', 'Consuming Aberration', ""Executioner's Swing"", 'Ground Assault', ""Runner's Bane"", 'Rakdos Drake', 'Clear a Path', 'Bred for the Hunt', 'Warped Physique', 'Deathbringer Thoctar', 'Unscythe, Killer of Kings', 'Break of Day', 'Gavony Ironwright', 'Relentless Skaabs', 'Wild Hunger', 'Stormtide Leviathan', 'Berserkers of Blood Ridge', 'Acidic Slime', 'Elvish Archdruid', 'Mountain', 'Set Adrift', 'Mardu Heart-Piercer', 'Butcher of the Horde', 'Kheru Lich Lord', 'Sidisi, Brood Tyrant', 'Sultai Ascendancy', 'Runehorn Hellkite', 'Yidris, Maelstrom Wielder', ""Cathars' Crusade"", ""Tezzeret's Gambit"", 'Blood Tyrant', 'Bred for the Hunt', 'Consuming Aberration', 'Acidic Slime', 'Mountain', 'Stormtide Leviathan', 'Tormented Soul', 'Krenko, Mob Boss', ""Krenko's Command"", 'Rummaging Goblin', 'Acidic Slime', 'Elvish Archdruid', 'Mountain', 'Launch the Fleet', 'Guul Draz Overseer', 'Voracious Null', 'Goblin War Paint', ""Drana's Emissary"", 'Noyan Dar, Roil Shaper', 'Acidic Slime', 'Elvish Archdruid', 'Ezuri, Renegade Leader', 'Wellwisher', 'Mountain', 'Berserkers of Blood Ridge', 'Acidic Slime', 'Elvish Archdruid', 'Mountain', 'Atarka, World Render', 'Infest', 'Reckless Spite', 'From the Ashes', 'Witch Hunt', 'Acidic Slime', 'Mold Shambler', 'Deathbringer Thoctar', ""Liliana's Reaver"", 'Minotaur Abomination', 'Undead Minotaur', 'Academy Raider', 'Garruk, Caller of Beasts', 'Mountain', 'Tar Snare', 'Battle Brawler', 'Atarka, World Render', 'War Flare', 'Smother', ""Demon's Herald"", 'Infest', ""Hell's Thunder"", 'Skeletonize', 'Blood Cultist', 'Swerve', 'Servant of Tymaret', 'Bolt of Keranos', 'Ragemonger', ""Cathars' Crusade"", 'Defy Death', 'Goldnight Redeemer', 'Second Guess', 'Pillar of Flame', ""Slayers' Stronghold"", 'Infest', 'Bitterheart Witch', 'Stromkirk Patrol', 'Hinterland Harbor', 'Goblin Warchief', 'Blood-Chin Rager', 'Dragonlord Atarka', 'Barricade Breaker', 'Foundry Assembler', 'Armory Guard', 'Swift Justice', 'Cancel', 'Ogre Jailbreaker', 'Slum Reaper', 'Ultimate Price', 'Guild Feud', 'New Prahv Guildmage', 'Rix Maadi Guildmage', 'Vedalken Certarch', 'Scoria Elemental', 'Ezuri, Renegade Leader', 'Nim Deathmantle', 'Razorfield Thresher', 'Guard Duty', 'Baneful Omen', 'Vendetta', 'Magmaw', 'Beastbreaker of Bala Ged', 'Stomper Cub', ""Cathars' Crusade"", ""Liliana's Reaver"", 'Elvish Archdruid', 'Ezuri, Renegade Leader', 'Wellwisher', 'Mountain', 'Reckless Spite', 'Blood Tyrant', 'Immediate Action', ""Muzzio's Preparations"", 'Ignition Team', ""Dack's Duplicate"", 'Reckless Spite', 'Tormented Soul', 'Sedraxis Alchemist', 'Wandering Goblins', 'Blood Tyrant', 'Conflux', 'Bold Impaler', ""Mind's Eye"", 'Infest', 'Stromkirk Patrol', 'Lay Bare the Heart', 'Steadfast Sentinel', 'Forced Worship', ""Tezzeret's Gambit"", 'Caress of Phyrexia', 'Toxic Nim', 'Furnace Scamp', 'Viridian Betrayers', 'Vorinclex, Voice of Hunger', 'Shrine of Boundless Growth', 'Distant Memories', 'Spiraling Duelist', 'Mirran Mettle', 'Militant Inquisitor', 'Hinterland Logger', 'Timber Shredder', 'Rabid Bite', 'Prized Amalgam', ""Sorin's Thirst"", 'Tormented Soul', 'Acidic Slime', 'Arachnus Spinner', 'Arachnus Web', 'Elvish Archdruid', 'Mountain', 'Calculated Dismissal', 'Mage-Ring Bully', ""Titan's Strength"", ""Pharika's Disciple"", 'Constricting Sliver', 'Stormtide Leviathan', 'Endless Obedience', 'Ob Nixilis, Unshackled', 'Clear a Path', ""Krenko's Enforcer"", 'Rummaging Goblin', 'Siege Dragon', 'Chord of Calling', 'Mountain']"
205,Cynthia Sheppard,"['Scholar of Athreos', 'Theros', 'Gatecrash', ""Dragon's Maze"", 'Dark Ascension', 'Khans of Tarkir', 'Commander 2016', 'Commander 2015', 'Magic 2013', 'Journey into Nyx', 'Battle for Zendikar', 'Commander Anthology', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Oath of the Gatewatch', 'Fate Reforged', 'Born of the Gods', 'Avacyn Restored', 'Innistrad', 'Dragons of Tarkir', 'Return to Ravnica', 'Magic: The Gathering—Conspiracy', 'Eldritch Moon', 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['Scholar of Athreos', 'Wingsteed Rider', 'Shadow Alley Denizen', 'Wake the Reflections', 'Markov Warlord', 'Scorned Villager', 'Moonscarred Werewolf', 'Treasure Cruise', 'Canyon Lurkers', 'Sorin, Solemn Visitor', 'Sultai Soothsayer', 'Treasure Cruise', 'Shamanic Revelation', 'Thief of Blood', 'Sublime Archangel', 'Interpret the Signs', 'Prophetic Flamespeaker', 'Reviving Melody', 'Emeria Shepherd', ""Lithomancer's Focus"", 'Incubator Drone', 'Transgress the Mind', 'Thief of Blood', 'Rubinia Soulsinger', 'Wasitora, Nekoru Queen', ""Jeleva, Nephalia's Scourge"", 'Rubinia Soulsinger', 'Young Pyromancer', 'Ayli, Eternal Pilgrim', 'Jeskai Infiltrator', 'Shamanic Revelation', 'Harsh Sustenance', 'Impetuous Sunchaser', 'Reap What Is Sown', 'Archangel', 'Exquisite Blood', 'Rush of Blood', 'Trusted Forcemage', 'Bloodcrazed Neonate', 'Youthful Scholar', 'Cremate', 'Tavern Swindler', 'Wind Dancer', 'Dark Salvation', 'Stromkirk Mentor', 'Flameblade Angel', 'Ampryn Tactician', 'Archangel of Tithes', 'Send to Sleep', 'Ghirapur Aether Grid', 'Reclusive Artificer', 'Blood Host', 'Shadowcloak Vampire', 'Altac Bloodseeker']"
382,Ryan Alexander Lee,"['Mardu Hateblade', 'Khans of Tarkir', 'Commander 2016', 'Journey into Nyx', 'Commander Anthology', 'Commander 2017', 'Fate Reforged', 'Born of the Gods', 'Dominaria', 'Explorers of Ixalan', 'Dragons of Tarkir', 'Aether Revolt', 'Commander 2014', 'Eldritch Moon', 'Kaladesh', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'Shadows over Innistrad', 'Magic 2015 Core Set']","['Mardu Hateblade', 'Mystic of the Hidden Way', 'Empty the Pits', 'Duneblast', 'Efreet Weaponmaster', 'Kin-Tree Invocation', 'Mindswipe', 'Sidar Kondo of Jamuraa', 'Duneblast', ""Commander's Sphere"", 'Dawnbringer Charioteers', 'Stonewise Fortifier', 'Bearer of the Heavens', 'Lightning Diadem', ""Commander's Sphere"", ""Commander's Sphere"", 'Enhanced Awareness', 'Shaman of the Great Hunt', 'Temur Runemark', 'Warden of the First Tree', ""Sphinx's Disciple"", 'Naban, Dean of Iteration', 'Vampire Noble', 'Echoes of the Kin Tree', 'Mirror Mockery', 'Monastery Loremaster', 'Quicksmith Spy', 'Perilous Predicament', 'Tezzeret the Schemer', 'Verdant Automaton', ""Commander's Sphere"", 'Courageous Outrider', 'Imprisoned in the Moon', ""Emrakul's Influence"", 'Ninth Bridge Patrol', 'Protection of the Hekma', 'Commit', 'Memory', 'Vizier of the True', 'Fraying Sanity', 'Bright Reprisal', 'Tempest Caller', 'Wildgrowth Walker', 'Ever After', 'Vampire Noble', 'Spectra Ward']"
376,Zina Saunders,"['Auspicious Ancestor', 'Mirage', 'Tempest', 'Fifth Edition', 'Visions', 'Commander 2014', 'Classic Sixth Edition', 'Weatherlight']","['Auspicious Ancestor', 'Mtenda Herder', 'Hazerider Drake', 'Maddening Imp', 'Broken Fall', 'Verdigris', 'Sacred Guide', ""Joven's Tools"", 'Healing Salve', 'Prismatic Ward', 'Inspiration', 'Giant Caterpillar', 'Remedy', 'Karoo', 'Karoo', 'Ardent Militia', 'Regal Unicorn', 'Remedy', 'Inspiration', 'Relearn', 'Wind Drake', 'Relearn', 'Mwonvuli Ooze', 'Ardent Militia', 'Benalish Knight']"
628,Terry Springer,"['Plains', 'Mercadian Masques']","['Plains', 'Island', 'Swamp', 'Mountain', 'Forest']"
199,Mark Winters,"['Gods Willing', 'Theros', 'Gatecrash', ""Dragon's Maze"", 'Khans of Tarkir', 'Commander 2016', 'Commander 2015', 'Journey into Nyx', 'Commander Anthology', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Fate Reforged', 'Born of the Gods', 'Dragons of Tarkir', 'Commander 2014', 'Eldritch Moon', 'Kaladesh', 'Conspiracy: Take the Crown', 'Ixalan', 'Magic Origins', 'Magic 2015 Core Set']","['Gods Willing', 'Pheres-Band Centaurs', 'Gutter Skulk', 'Mental Vapors', 'Skyblinder Staff', 'Emmara Tandris', 'Zhur-Taa Druid', 'Force Away', 'Dragonscale Boon', 'Hardened Scales', 'Abzan Ascendancy', 'Utter End', 'Hardened Scales', 'Utter End', 'Zhur-Taa Druid', 'Scourge of Nel Toth', 'Meren of Clan Nel Toth', 'Underworld Coinsmith', 'Setessan Tactics', 'Underworld Coinsmith', 'Scourge of Nel Toth', 'Meren of Clan Nel Toth', 'Monastery Siege', 'Nekusar, the Mindrazer', 'Ring of Three Wishes', 'Monastery Siege', 'Return to the Earth', 'Akroan Skyguard', 'Elite Skirmisher', 'Aspect of Hydra', 'Dromoka Dunecaster', 'Intellectual Offering', 'Bloodhall Priest', 'Diabolic Tutor', 'Gods Willing', 'Sleek Schooner', ""Kytheon's Irregulars"", 'Dauntless River Marshal', 'Meditation Puzzle', 'Amphin Pathmage', 'Glacial Crasher', 'Might Makes Right']"
290,Adrian Smith,"['Earthquake', 'Mirage', 'Commander 2015', 'Commander Anthology', 'Fifth Edition', 'Magic 2010', 'Commander 2017', 'Visions', 'Ninth Edition', 'Scars of Mirrodin', 'Classic Sixth Edition', 'Eighth Edition', 'New Phyrexia', 'Mirrodin Besieged', 'Weatherlight']","['Earthquake', 'Grave Servitude', 'Earthquake', 'Earthquake', 'Shapeshifter', 'Black Knight', 'Breeding Pit', 'Mole Worms', 'Aysen Bureaucrats', 'Earthquake', 'Earthquake', 'Fallen Askari', 'Nekrataal', 'Nekrataal', 'Disperse', 'Scrapdiver Serpent', 'Carrion Call', 'Doomsday', 'Nekrataal', 'Loxodon Convert', 'Isolation Cell', 'Tine Shrike', 'Gruesome Encore', 'Rusted Slasher', 'Doomsday', 'Wave of Terror', 'Maraxus of Keld']"
45,Justin Sweet,"['Sphinx of Jwar Isle', 'Zendikar', 'Torment', 'Dissension', 'Magic: The Gathering-Commander', 'Mirrodin', 'Time Spiral', 'Alara Reborn', 'Magic 2011', 'Commander 2016', 'Commander Anthology', 'Scourge', 'Magic 2010', 'Planechase', 'Commander 2017', 'Commander 2013 Edition', 'Shards of Alara', 'Archenemy', 'Ninth Edition', 'Onslaught', 'Future Sight', 'Rise of the Eldrazi', 'Commander 2014', 'Champions of Kamigawa', 'Archenemy: Nicol Bolas', 'Ravnica: City of Guilds', 'Conflux', 'Tenth Edition', 'Odyssey', 'Eighth Edition', 'Legions', 'Fifth Dawn', 'Magic 2012']","['Sphinx of Jwar Isle', 'Disfigure', 'Zektar Shrine Expedition', 'Gigantiform', 'Greenweaver Druid', 'Alter Reality', 'Pardic Lancer', 'Centaur Chieftain', 'Aurora Eidolon', 'Azorius Herald', 'Plumes of Peace', 'Colossal Might', 'Slith Ascendant', 'Slith Strider', 'Slith Bloodletter', 'Slith Firewalker', 'Plated Slagwurm', 'Slith Predator', 'Tel-Jilad Exile', 'Wurmskin Forger', 'Slagwurm Armor', 'Drifter il-Dal', 'Aetherflame Wall', 'Ignite Memories', 'Aether Web', 'Plains', 'Colossal Might', 'Godtracker of Jund', ""Chandra's Spitfire"", 'Bane of the Living', 'Primordial Sage', 'Eternal Dragon', 'Enrage', 'Consume Spirit', 'Capricious Efreet', 'Consume Spirit', 'Arcanis the Omnipotent', 'Azorius Herald', 'Capricious Efreet', 'Hellkite Overlord', 'Rip-Clan Crasher', 'Colossal Might', 'Aven Cloudchaser', 'Enrage', 'Doubtless One', 'Arcanis the Omnipotent', 'Callous Oppressor', 'Riptide Biologist', 'Standardize', 'Gangrenous Goliath', 'Words of War', 'Snarling Undorak', 'Blade of the Sixth Pride', 'Snake Cult Initiation', 'Centaur Omenreader', 'Pestilence Demon', 'Explosive Revelation', 'Sphinx of Jwar Isle', 'Pestilence Demon', 'Primordial Sage', 'Iname, Death Aspect', 'Iname, Life Aspect', 'Sphinx of Jwar Isle', 'Hunted Phantasm', 'Surge of Zeal', 'Elves of Deep Shadow', 'Primordial Sage', 'Dragonsoul Knight', 'Hellspark Elemental', 'Aven Cloudchaser', 'Arcanis the Omnipotent', 'Aven Cloudchaser', 'Morgue Theft', 'Nantuko Disciple', 'Aven Cloudchaser', 'Enrage', 'Nantuko Disciple', 'Bane of the Living', 'Embalmed Brawler', 'Skirk Alarmist', 'Roar of Reclamation', 'Plunge into Darkness', 'Magma Jet', 'Consume Spirit']"
231,John Stanko,"['Satyr Rambler', 'Theros', 'Magic: The Gathering-Commander', 'Dark Ascension', 'Magic 2011', 'Commander 2015', 'Journey into Nyx', 'Commander Anthology', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Avacyn Restored', 'Archenemy', 'Innistrad', 'Dominaria', 'Aether Revolt', 'Commander 2014', 'Magic: The Gathering—Conspiracy', 'Eldritch Moon', 'Kaladesh', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['Satyr Rambler', 'Sedge Scorpion', 'Chronicler of Heroes', 'Stranglehold', 'Burden of Guilt', 'Thraben Doomsayer', 'Gruesome Discovery', 'Spiteful Shadows', 'Viscera Seer', 'Wall of Vines', 'Desperate Ravings', 'Rouse the Mob', 'Chariot of Victory', 'Stranglehold', 'Magus of the Mind', 'Ophiomancer', 'Viscera Seer', 'Tenacious Dead', ""Builder's Blessing"", 'Kessig Malcontents', 'Somberwald Vigilante', 'Nightshade Peddler', 'Every Hope Shall Vanish', 'My Genius Knows No Bounds', 'Nature Shields Its Own', 'Feeling of Dread', 'Rooftop Storm', 'Desperate Ravings', ""Raff Capashen, Ship's Mage"", 'Conviction', 'Containment Priest', 'Magister of Worth', 'Choking Restraints', ""Ironwright's Cleansing"", 'Weaver of Lightning', 'Renegade Firebrand', 'Censor', 'Graceful Cat', 'Firebrand Archer', 'Rallying Roar', 'Depths of Desire', ""Hierophant's Chalice"", ""Pirate's Cutlass"", ""Chaplain's Blessing"", 'Strength of Arms', 'Town Gossipmonger', 'Incited Rabble', 'Biting Rain', 'Obsessive Skinner', 'Consecrated by Blood', 'Possessed Skaab', 'Paragon of New Dawns']"
359,John Coulthart,"['Dark Ritual', 'Mirage', 'Fifth Edition', 'Visions', 'Classic Sixth Edition', 'Weatherlight']","['Dark Ritual', 'Painful Memories', 'Shallow Grave', 'Cloak of Invisibility', 'Blind Fury', ""Kaervek's Torch"", ""Tawnos's Weaponry"", 'Carrion Ants', 'Funeral March', 'Howl from Beyond', 'Steal Artifact', 'Necrosavant', 'Relic Ward', 'Sun Clasp', 'Howl from Beyond', 'Necrosavant', 'Painful Memories', 'Spinning Darkness', 'Tendrils of Despair', 'Soul Shepherd']"
120,Greg Hildebrandt,"['Giant Dustwasp', 'Planar Chaos', 'Dissension', 'Unhinged', 'Judgment', 'Magic: The Gathering-Commander', 'Mirrodin', 'Time Spiral', 'Alara Reborn', 'Commander 2016', 'Darksteel', 'Magic 2013', 'Commander Anthology', 'Scourge', 'Planechase', 'Commander 2017', 'Commander 2013 Edition', 'Saviors of Kamigawa', 'Morningtide', 'Archenemy', 'Champions of Kamigawa', 'Ravnica: City of Guilds', 'Magic: The Gathering—Conspiracy', 'Betrayers of Kamigawa', 'Coldsnap', 'Tenth Edition', 'Conspiracy: Take the Crown', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Guildpact', 'Legions', 'Fifth Dawn']","['Giant Dustwasp', 'Mire Boa', 'Blessing of the Nephilim', 'Taste for Mayhem', 'Azorius Signet', 'Rakdos Signet', 'Simic Signet', 'Avatar of Me', 'Our Market Research Shows That Players Like Really Long Card Names So We Made this Card to Have the Absolute Longest Card Name Ever Elemental', 'Liberated Dwarf', ""Shaman's Trance"", 'Boros Signet', 'Dimir Signet', 'Golgari Signet', 'Gruul Signet', 'Izzet Signet', 'Orzhov Signet', 'Rakdos Signet', 'Selesnya Signet', 'Simic Signet', 'Assert Authority', 'Thoughtcast', 'Brown Ouphe', 'Tooth and Nail', 'Plated Pegasus', 'Firemaw Kavu', 'Molder', 'Gauntlet of Power', 'Unbender Tine', 'Juniper Order Ranger', 'Shunt', 'Aether Vial', ""Specter's Shroud"", 'Intrepid Hero', 'Boros Signet', 'Orzhov Signet', 'Rakdos Signet', 'Sword of the Paruns', 'Mistform Warchief', 'Clutch of Undeath', 'Undead Warchief', 'Krosan Warchief', 'Undead Warchief', 'Relentless Assault', 'Boros Signet', 'Suntouched Myr', 'Merchant of Secrets', 'Krosan Warchief', 'Sun Droplet', 'Sword of the Paruns', 'Death Denied', 'Kami of Empty Graves', 'Ivory Crane Netsuke', 'Recross the Paths', 'Unbender Tine', 'Azorius Signet', 'Dimir Signet', 'Gruul Signet', 'Rakdos Signet', 'Sun Droplet', 'Devoted Retainer', ""Hisoka's Defiance"", ""Kumano's Pupils"", 'Orochi Ranger', 'Golgari Grave-Troll', 'Transluminant', 'Golgari Signet', 'Selesnya Signet', 'Reito Lantern', 'Waxmane Baku', 'Blinding Powder', 'Karplusan Wolverine', 'Frostweb Spider', 'Juniper Order Ranger', 'Aven Windreader', 'Beacon of Destruction', 'Relentless Assault', 'Shunt', 'Citanul Flute', 'Juniper Order Ranger', 'Undead Warchief', 'Intrepid Hero', 'Merchant of Secrets', 'Leap of Flame', 'Streetbreaker Wurm', 'Izzet Signet', 'Stoic Champion', 'Gempalm Sorcerer', 'Keeneye Aven', 'Merchant of Secrets', 'Zombie Brute', 'Beacon of Destruction', 'Reversal of Fortune', 'Paradise Mantle', 'Suntouched Myr']"
220,Seb McKinnon,"['Vaporkin', 'Theros', 'Gatecrash', ""Dragon's Maze"", 'Khans of Tarkir', 'Commander 2016', 'Unstable', 'Commander 2015', 'Magic 2013', 'Journey into Nyx', 'Commander 2017', 'Magic 2014 Core Set', 'Fate Reforged', 'Rivals of Ixalan', 'Born of the Gods', 'Dominaria', 'Dragons of Tarkir', 'Return to Ravnica', 'Commander 2014', 'Archenemy: Nicol Bolas', 'Eldritch Moon', 'Kaladesh', 'Conspiracy: Take the Crown', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['Vaporkin', 'Returned Phalanx', 'Akroan Horse', 'Unknown Shores', 'Blind Obedience', 'Tower Defense', 'Immortal Servitude', 'Millennial Gargoyle', 'Opal Lake Gatekeepers', 'Pontiff of Blight', 'Debt to the Deathless', 'Drown in Filth', 'Suspension Field', 'Dutiful Return', 'Grim Haruspex', 'Necropolis Fiend', 'Rite of the Serpent', 'Arc Lightning', 'Parting Thoughts', 'Sylvan Reclamation', 'Blind Obedience', 'Whims of the Fates', 'Akroan Horse', 'Infinity Elemental', 'Secret Base', 'Vandalblast', 'Attended Knight', 'Hubris', 'Colossal Heroics', 'Blind Obedience', 'Grim Return', ""Rakshasa's Disdain"", 'Soulflayer', 'Sadistic Skymarcher', 'Twilight Prophet', 'Odunos River Trawler', 'Fearsome Temper', 'Nyxborn Rollicker', 'Whims of the Fates', 'Skyreaping', 'Springleaf Drum', 'Rite of Belzenlok', ""Dragonlord's Prerogative"", 'Herdchaser Dragon', 'Vandalblast', 'Hussar Patrol', 'Growing Ranks', 'Pontiff of Blight', 'My Forces Are Innumerable', 'Selfless Spirit', 'Spectral Reserves', 'Chilling Grasp', 'Fogwalker', 'Noosegraf Mob', 'Mind Rot', 'Assemble the Rank and Vile', 'Vaporkin', 'Archfiend of Ifnir', 'Baleful Ammit', 'Wander in Death', 'Ahn-Crop Crasher', 'Sandblast', 'Grisly Survivor', 'Duskborne Skymarcher', 'Topplegeist', 'Compelling Deterrence', 'Daring Sleuth', 'Bearer of Overwhelming Truths', 'Erdwal Illuminator', 'Essence Flux', 'Nagging Thoughts', 'Pale Rider of Trostad', 'Vryn Wingmare', 'Displacement Wave', 'Rabid Bloodsucker', 'Flameshadow Conjuring', 'Lightning Javelin', 'Chronostutter', 'Covenant of Blood', ""Necromancer's Stockpile""]"
147,Jim “Stop the Da Vinci Beatdown” Pavelec,['Circle of Protection: Art'],['Circle of Protection: Art']
264,Richard Whitters,"['Mindwrack Liege', 'Eventide', 'Alara Reborn', 'Commander 2016', 'Commander 2013 Edition', 'New Phyrexia', 'Shadowmoor']","['Mindwrack Liege', 'Groundling Pouncer', 'Filigree Angel', 'Anathemancer', 'Violent Outburst', 'Filigree Angel', 'Filigree Angel', 'Cathedral Membrane', 'Crabapple Cohort', 'Safehold Elite']"
415,Randy Asplund-Faith,"['Clockwork Avian', 'Antiquities', 'Fifth Edition', 'Legends', 'Fourth Edition', 'Classic Sixth Edition', 'Fallen Empires', 'The Dark', 'Time Spiral ""Timeshifted""', 'Alliances']","['Clockwork Avian', ""Urza's Miter"", 'Detonate', 'Lost Soul', 'Detonate', 'Dwarven Soldier', 'Sentinel', 'Lost Soul', ""Sea Kings' Blessing"", 'Undertow', 'Sylvan Paradise', 'Kobold Taskmaster', 'Raging Bull', 'Fortified Area', 'Thunder Spirit', 'Tor Wauki', 'Clockwork Avian', 'Lost Soul', 'Detonate', 'Inferno', 'Fortified Area', 'Reprisal', 'Lost Soul', 'Ebon Praetor', 'Homarid Warrior', 'Elven Fortress', 'Dwarven Soldier', 'Order of Leitbur', 'Riptide', 'Inferno', ""Sorrow's Path"", 'Kobold Taskmaster', 'Guerrilla Tactics', 'Guerrilla Tactics', 'Rogue Skycaptain', 'Reprisal', 'Reprisal']"
258,Fred Harper,"['Hotheaded Giant', 'Eventide', 'Magic: The Gathering-Commander']","['Hotheaded Giant', 'Desecrator Hag', 'Desecrator Hag']"
521,Tristan Elwell,"['Staunch Defenders', 'Seventh Edition', 'Tenth Edition', 'Eighth Edition']","['Staunch Defenders', 'Memory Lapse', 'Merfolk Looter', 'Elvish Piper', 'Merfolk Looter', 'Staunch Defenders', 'Elvish Piper']"
48,Philip Straub,"[""Trapfinder's Trick"", 'Zendikar', 'Planechase 2012 Edition', 'Commander 2015', 'Battle for Zendikar', 'Commander 2017', 'Commander 2013 Edition', 'Archenemy', 'Future Sight', 'Rise of the Eldrazi', 'Planechase Anthology', 'Magic Origins']","[""Trapfinder's Trick"", 'Inferno Trap', 'Grappling Hook', 'Graypelt Refuge', 'Scalding Tarn', 'Lair of the Ashen Idol', 'Graypelt Refuge', 'Llanowar Reborn', 'Prism Array', 'Skyline Cascade', 'Grappling Hook', 'Graypelt Refuge', 'Tempt with Immortality', 'Fissure Vent', 'Llanowar Reborn', 'Inferno Trap', 'Graypelt Refuge', 'Llanowar Reborn', 'Keldon Megaliths', 'Llanowar Reborn', 'Fissure Vent', 'Lair of the Ashen Idol', 'Graypelt Refuge', 'Molten Vortex']"
488,Grzegorz Rutkowski,"['Boneyard Scourge', 'Rivals of Ixalan', 'Dominaria', 'Amonkhet', 'Hour of Devastation', 'Ixalan']","['Boneyard Scourge', 'Crafty Cutpurse', ""Brass's Bounty"", 'Vraska, Scheming Gorgon', 'Slinn Voda, the Rising Deep', ""Wizard's Retort"", 'Shivan Fire', ""Wizard's Lightning"", ""Gaea's Protector"", 'Aryel, Knight of Windgrace', 'Darigaaz Reincarnated', 'Howling Golem', 'Dune Beetle', 'Lord of the Accursed', 'Onward', 'Victory', 'Torment of Hailfire', 'Growing Rites of Itlimoc', 'Itlimoc, Cradle of the Sun', 'Rootbound Crag']"
